Id,Name,Ff_time,Prize_money,Correct_answers,Lost_Question,Lost_money,Lost_how,Ata_used,Ff_used,Pp_used,Ata_question,Ata_perc,Ata_correct,Ff_question,Ff_correct,Pp_question,Pp_correct,Phoned_who,Bad_question,Bad_number
1,David Korotkin,5.39,1000,6,7,1000,wrong,1,1,0,6,56,1,7,0,0,2,na,0,0
2,Hillary Daw,4.65,16000,9,10,0,walked,1,1,1,5,75,1,6,1,8,1,brother,0,0
3,Norman Payne,5.25,32000,10,11,0,wrong,1,1,1,11,70,0,10,1,10,1,friend,0,0
4,David Honea,4.9,125000,12,13,0,walked,1,1,1,10,66,1,10,1,10,0,father_in_law,1,11
5,Rob Gelbman,7.58,1000,9,10,15000,wrong,1,1,1,5,68,1,10,0,9,1,mother,0,0
6,Doug Van Gundy,4.33,250000,13,14,0,walked,1,1,1,12,85,1,13,1,13,1,friend,1,1
7,John McClain,4.15,32000,10,11,0,wrong,1,1,1,10,59,1,10,1,10,1,aunt,0,0
8,Doug Szafran,3.45,64000,11,12,0,walked,1,1,1,2,86,1,11,1,11,0,friend,0,0
9,Robby Roseman,5.25,0,0,1,0,wrong,0,1,0,0,0,2,1,0,0,2,na,0,0
10,Tom Colleta,6.35,1000,7,8,3000,wrong,1,1,1,7,86,1,9,0,8,1,friend,0,0
11,Carl Park,4.84,32000,10,11,0,wrong,1,1,1,2,84,1,11,0,11,0,friend,0,0
12,Ginny Horvath,4.32,32000,10,11,0,wrong,1,0,1,9,80,1,0,2,10,1,son,0,0
13,Michael Shutterly,5.07,500000,14,15,0,walked,1,1,1,9,62,1,12,1,13,0,mother,0,0
14,Mark Dixon,4.67,32000,10,11,0,wrong,1,1,0,6,96,1,10,1,0,2,na,0,0
15,Bill MacDonald,5.37,125000,12,13,0,walked,1,1,1,6,90,1,11,1,13,1,friend,0,0
16,Michael Rosenthal,4.92,125000,12,13,0,walked,1,1,1,10,75,1,13,0,13,0,friend,0,0
17,Jeff Gardner,4.89,1000,8,9,7000,wrong,1,0,0,6,87,1,0,2,0,2,na,0,0
18,Doug Foster,3.89,32000,10,11,0,wrong,1,1,1,10,55,1,10,1,10,0,friend,0,0
19,Paul Locharenkul,5.52,32000,11,12,32000,wrong,1,1,1,9,76,1,12,0,12,0,brother,0,0
20,Mark Megerian,5.13,1000,9,10,15000,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
21,John Cuthberston,6.05,32000,10,11,0,wrong,1,1,0,10,49,1,11,0,0,2,na ,0,0
22,Jim Baird,2.8,1000,6,7,1000,wrong,1,0,0,4,96,1,0,2,0,2,na,0,0
23,John Christensen,5.49,16000,9,10,0,walked,1,1,1,2,94,1,10,0,10,0,teacher,0,0
24,Joel McElvain,4.25,32000,10,11,0,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
25,Jeff Siehl,3.41,64000,11,12,0,walked,1,1,1,12,39,1,9,1,1,1,friend,0,0
26,Joel Winkelsas,4.97,64000,11,12,0,walked,1,1,1,8,49,0,8,1,11,1,brother,0,0
27,Ted Patchell,5.08,32000,11,12,32000,wrong,1,1,0,8,84,1,11,1,0,2,na,0,0
28,Clark Hantzmon,5.33,1000,9,10,15000,wrong,1,1,0,8,80,1,9,0,0,2,na,0,0
29,Beth Plummer,6.52,64000,11,12,0,walked,1,1,1,10,67,1,11,1,11,1,father,0,0
30,Gary Levine,17.08,250000,13,14,0,walked,1,1,1,8,62,1,8,1,14,1,friend,0,0
31,John LaMantia,4.18,125000,12,13,0,walked,1,1,1,13,57,1,13,0,13,0,father_in_law,0,0
32,Mike Feinberg,3.7,64000,11,12,0,walked,1,1,1,8,84,1,8,1,9,1,stepfather,0,0
33,Adam Fine,3.35,16000,9,10,0,walked,1,1,1,5,93,1,9,1,10,0,friend,0,0
34,Rick Grimes,5.19,64000,11,12,0,walked,1,1,1,8,90,1,8,1,9,1,friend,0,0
35,Tok Pajak,4.82,32000,12,13,93000,wrong,1,1,1,10,78,1,12,1,11,1,friend,0,0
36,Andres Rivera,6.41,125000,12,13,0,walked,1,1,1,5,73,1,11,1,13,0,friend,0,0
